GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1600000US0660018,0660018,"Redondo Beach city, California",28628,1663,13906,1483,14722,1785
1600000US0660102,0660102,"Redwood City city, California",28871,1518,14103,1402,14768,1307
1600000US0660466,0660466,"Rialto city, California",23880,1474,14684,1457,9196,1173
1600000US0660620,0660620,"Richmond city, California",38952,2049,18580,1767,20372,1554
1600000US0662000,0662000,"Riverside city, California",91813,3178,50599,2537,41214,2863
1600000US0662938,0662938,"Roseville city, California",46372,1798,29462,1779,16910,1417
1600000US0664000,0664000,"Sacramento city, California",177325,4031,84468,3364,92857,3655
1600000US0664224,0664224,"Salinas city, California",39429,1681,16072,1618,23357,1725
1600000US0665000,0665000,"San Bernardino city, California",56187,2246,27669,1783,28518,2139
1600000US0665042,0665042,"San Buenaventura (Ventura) city, California",40725,1846,22103,1669,18622,1585
1600000US0666000,0666000,"San Diego city, California",473842,5552,221253,5587,252589,5383
1600000US0667000,0667000,"San Francisco city, California",346842,3718,124739,4592,222103,4887
1600000US0668000,0668000,"San Jose city, California",310126,4079,174216,4409,135910,4393
1600000US0668084,0668084,"San Leandro city, California",29828,1745,15651,1464,14177,1447
1600000US0668196,0668196,"San Marcos city, California",30911,1887,18700,1743,12211,1665
1600000US0668252,0668252,"San Mateo city, California",37129,1748,18503,1500,18626,1430
1600000US0668378,0668378,"San Ramon city, California",26506,1131,17844,1419,8662,1175
1600000US0669000,0669000,"Santa Ana city, California",71272,2557,31761,1914,39511,2047
1600000US0669070,0669070,"Santa Barbara city, California",34234,1849,13680,1288,20554,1609
1600000US0669084,0669084,"Santa Clara city, California",42493,1844,19866,1527,22627,1824
1600000US0669088,0669088,"Santa Clarita city, California",58774,2061,40095,1922,18679,1922
1600000US0669196,0669196,"Santa Maria city, California",26420,1610,12781,1354,13639,1349
1600000US0670000,0670000,"Santa Monica city, California",43729,2095,12994,1449,30735,2195
1600000US0670098,0670098,"Santa Rosa city, California",62825,2135,33576,2157,29249,2221
1600000US0672016,0672016,"Simi Valley city, California",42642,1662,30747,1871,11895,1348
1600000US0673080,0673080,"South Gate city, California",23460,1049,11510,1121,11950,1125
1600000US0673262,0673262,"South San Francisco city, California",21417,1410,11828,1331,9589,1272
1600000US0675000,0675000,"Stockton city, California",90754,2332,44585,2439,46169,2067
1600000US0677000,0677000,"Sunnyvale city, California",54075,2274,24562,2368,29513,1739
1600000US0678120,0678120,"Temecula city, California",29877,1446,19354,1658,10523,1300
1600000US0678582,0678582,"Thousand Oaks city, California",44979,2013,32666,1928,12313,1515
1600000US0680000,0680000,"Torrance city, California",56709,2076,32290,2165,24419,2152
1600000US0680238,0680238,"Tracy city, California",23332,1279,15270,1591,8062,1115
1600000US0680812,0680812,"Turlock city, California",23922,1472,12537,1420,11385,1263
1600000US0680854,0680854,"Tustin city, California",25315,1627,12453,1593,12862,1213
1600000US0681204,0681204,"Union City city, California",20137,1049,13293,1266,6844,1181
1600000US0681344,0681344,"Upland city, California",26452,1602,14029,1273,12423,1360
